CAWB,"Data crearii",Ruta,"CAWB parinte",Tip,Inchis,"Nr colete","Nr colete mari","Total colete incarcate","Total colete descarcate","Ramas de descarcat","Mijloc transport",Paleti,Custi
CAWB-X-02-36022,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36023,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36024,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36025,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36026,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36027,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-H-02-36006,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",H,Nu,83,0,3,80,3,,"Paleti trimisi: 0  Paleti receptionati: 0  Paleti actuali: 0",0
CAWB-X-02-36007,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36008,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36009,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36010,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36011,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36012,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36013,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE","Fara parinte",X,Nu,0,0,0,0,0,
CAWB-X-02-36014,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE",CAWB-H-02-36006,X,Nu,1,0,0,1,0,
CAWB-X-02-36015,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE",CAWB-H-02-36006,X,Nu,9,0,2,7,2,
CAWB-X-02-36016,"'2026-06-02 23:59'","B_HUB_OVS_H02 => B_HUB01_REPARATIE",CAWB-H-02-36006,X,Nu,73,0,1,72,1,
CAWB-B-02-35991,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",B,Nu,6,0,6,0,6,
CAWB-B-02-35993,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",B,Nu,0,0,0,0,0,
CAWB-B-02-35995,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",B,Nu,0,0,0,0,0,
CAWB-V-02-35997,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",V,Nu,0,0,0,0,0,
CAWB-V-02-35999,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",V,Nu,0,0,0,0,0,
CAWB-V-02-36001,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",V,Nu,0,0,0,0,0,
CAWB-V-02-36003,"'2026-06-02 23:55'","SB_SIBIU_H01 => B_BRAGADIRU_A09","Fara parinte",V,Nu,0,0,0,0,0,
